,timestamps,mem,cpu,disk,clustername
163,1584310619999,119137168,12154,777985024,AMS01-TVPP1-CloudCenter-Cluster
164,1584310919999,119134248,12666,777985024,AMS01-TVPP1-CloudCenter-Cluster
165,1584311219999,119134936,12650,777985024,AMS01-TVPP1-CloudCenter-Cluster
166,1584311519999,119133816,12140,777985024,AMS01-TVPP1-CloudCenter-Cluster
167,1584311819999,119135656,12401,777985024,AMS01-TVPP1-CloudCenter-Cluster
168,1584312119999,119138872,12555,777985024,AMS01-TVPP1-CloudCenter-Cluster
169,1584312419999,119139720,12365,777985024,AMS01-TVPP1-CloudCenter-Cluster
170,1584312719999,119144544,12391,778006528,AMS01-TVPP1-CloudCenter-Cluster
171,1584313019999,119145656,12564,778006528,AMS01-TVPP1-CloudCenter-Cluster
172,1584313319999,119145688,12160,778006528,AMS01-TVPP1-CloudCenter-Cluster
173,1584313619999,119143664,12451,778006528,AMS01-TVPP1-CloudCenter-Cluster
174,1584313919999,119146280,12465,778006528,AMS01-TVPP1-CloudCenter-Cluster
175,1584314219999,119149408,12231,778006528,AMS01-TVPP1-CloudCenter-Cluster
176,1584314519999,119153664,12274,778146816,AMS01-TVPP1-CloudCenter-Cluster
177,1584314819999,119158696,12566,778146816,AMS01-TVPP1-CloudCenter-Cluster
178,1584315119999,119157664,12167,778146816,AMS01-TVPP1-CloudCenter-Cluster
179,1584315419999,119149768,12326,778146816,AMS01-TVPP1-CloudCenter-Cluster
180,1584315719999,119152128,12453,778146816,AMS01-TVPP1-CloudCenter-Cluster
181,1584316019999,119154320,12230,778146816,AMS01-TVPP1-CloudCenter-Cluster
182,1584316319999,119152248,12414,778146816,AMS01-TVPP1-CloudCenter-Cluster
183,1584316619999,119151168,12516,778146816,AMS01-TVPP1-CloudCenter-Cluster
184,1584316919999,119146904,12139,778146816,AMS01-TVPP1-CloudCenter-Cluster
185,1584317219999,119148768,12497,778146816,AMS01-TVPP1-CloudCenter-Cluster
186,1584317519999,119150960,12540,778146816,AMS01-TVPP1-CloudCenter-Cluster
187,1584317819999,119151904,12341,778146816,AMS01-TVPP1-CloudCenter-Cluster
188,1584318119999,119155800,12504,778146816,AMS01-TVPP1-CloudCenter-Cluster
189,1584318419999,119146304,12755,778146816,AMS01-TVPP1-CloudCenter-Cluster
190,1584318719999,119150656,12354,778253184,AMS01-TVPP1-CloudCenter-Cluster
191,1584319019999,119148736,12381,778253184,AMS01-TVPP1-CloudCenter-Cluster
192,1584319319999,119152728,12672,778253184,AMS01-TVPP1-CloudCenter-Cluster
193,1584319619999,119158040,12372,778253184,AMS01-TVPP1-CloudCenter-Cluster
194,1584319919999,119161592,12353,778253184,AMS01-TVPP1-CloudCenter-Cluster
195,1584320219999,119161896,12448,778253184,AMS01-TVPP1-CloudCenter-Cluster
196,1584320519999,119163928,12177,778253184,AMS01-TVPP1-CloudCenter-Cluster
197,1584320819999,119160472,12406,778253184,AMS01-TVPP1-CloudCenter-Cluster
198,1584321119999,119159464,12404,778253184,AMS01-TVPP1-CloudCenter-Cluster
199,1584321419999,119163360,12333,778253184,AMS01-TVPP1-CloudCenter-Cluster
200,1584321719999,119168272,12329,778253184,AMS01-TVPP1-CloudCenter-Cluster
201,1584322019999,119171488,12342,778253184,AMS01-TVPP1-CloudCenter-Cluster
